epoch,train_loss,val_psnr
1,0.309740527966682,21.894847863433384
2,0.23229946300672474,21.986844224633924
3,0.22293845515052343,22.191062191438952
4,0.21866798056180214,22.29169945902697
5,0.21414772892474748,22.467572205611127
6,0.21262908287669305,22.51602486340866
7,0.209326070317617,22.528585707826352
8,0.20895233299284874,22.504674231698132
9,0.20741871730921804,22.570730258810624
10,0.20544840594867464,22.583645028596578
11,0.20525202922194932,22.403318454660646
12,0.20373417707464955,22.45492311826995
13,0.2021054242178052,22.27166758611524
14,0.2018380474789451,22.488388167106184
15,0.2016868449232704,22.25058072501591
16,0.19998007549958047,22.578453674407502
17,0.20071820014352132,22.25628055591095
18,0.19994379069902357,22.27877212317944
19,0.1988748919711389,22.57403401103564
20,0.19886162319667594,22.49390046075188
21,0.19820026590556736,22.30061597729181
22,0.19730812315519708,22.44996636796264
23,0.19500859482292288,22.306849192622007
24,0.19645661102260864,22.39824866589763
25,0.1946584980721236,22.42567633922941
26,0.19420717962555348,22.28502918036754
27,0.19352260407830624,21.883006762631922
28,0.19461559195241707,22.393549800345102
29,0.1929162306528404,22.606308537734414
30,0.192159603733752,22.389039818405653
31,0.1926942900379836,22.238653176442618
32,0.19099619687452968,22.18513028109416
33,0.19011506277091164,22.540399376466603
34,0.1911762191037933,22.395149729256623
35,0.18992296238179066,22.38710228878622
36,0.18892761223765744,22.554332502126712
37,0.1897081932464158,22.164482110180252
38,0.1889686913094333,22.455702999466585
39,0.1872256212379198,22.122320897944693
40,0.18811363890929816,22.17044728692913
41,0.18730447912905687,22.39881032397134
42,0.1862118455123139,22.185718305457783
43,0.1850318832264802,21.58460077885092
44,0.18721192245851956,22.243458460829128
45,0.18382140353991866,22.49169674380127
46,0.18314031261739,22.099021680727425
47,0.18286783637003287,22.466931168175226
48,0.18340722706546359,22.47505069520423
49,0.18170746757374612,22.325067345279937
50,0.18252231120087697,22.29526754733302
51,0.18059908035477973,22.39892768201071
52,0.18142866489648882,22.027556188499908
53,0.1800186639834008,21.881580907332335
