epoch,g_loss,d_loss,val_psnr,lr
1,1.5669800675181225,0.32124209238500545,22.05483561065013,0.0002
2,1.2537555297788487,0.25439365567049,22.682877593104624,0.0002
3,1.366672507380466,0.42732981065209297,22.96323012588063,0.0002
4,1.092237333681785,0.252287965015356,22.87718855619774,0.0002
5,1.0873035652644842,0.2518334978761847,22.339639239482636,0.0002
6,1.0615479740416174,0.2576227333428236,23.157688014423073,0.0002
7,1.0362710872786782,0.2576417138133081,23.175226859956684,0.0002
8,1.0352360395837183,0.25875437443917065,23.112678341795384,0.0002
9,1.041217398748413,0.26047369521404606,23.18025004139356,0.0002
10,1.0077861085678086,0.25581903544118656,22.319779091058972,0.0002
11,0.9958309083399024,0.25736725794003384,22.73479878191973,0.0002
12,0.9980564251693682,0.2547002886222994,23.11238717310575,0.0002
13,0.9961874800887273,0.2561028930158508,22.124278538465802,0.0002
14,0.982700274714795,0.2518475402415483,21.677305035969525,0.0002
15,1.0097892688729733,0.31183550283204886,22.68793135172426,0.0002
16,0.9074382161943974,0.2467782454139541,22.999567918742656,0.0002
17,0.94760778492364,0.250573334730212,22.75955908779349,0.0002
18,0.9201039978515506,0.25047003592270334,21.5520087413195,0.0002
19,0.919166447522952,0.2514644485003367,21.659057729628334,0.0002
20,0.9299465677905738,0.2545671491917645,22.502366595388818,0.0002
21,0.907760268937658,0.2533434598974399,21.664114349270918,0.0002
22,0.8736298763441989,0.2515535973747244,22.511808924792604,0.0002
23,0.8434452269498693,0.2529479901807207,22.36726348893232,0.0002
24,0.8216936452603631,0.2535039590240778,22.378752164999895,0.0002
25,0.8120023351459618,0.2540462617563913,22.030152850419196,0.0002
26,0.8043621065397981,0.2548408482490316,22.609835319606027,0.0002
27,1.0127610880090328,0.4526743150428188,23.220836155310625,0.0002
28,0.7450864109559894,0.25376139055352,23.412782721355534,0.0002
29,0.7543399948037428,0.2518881064410043,23.18554579487091,0.0002
30,0.7279599373591451,0.24827740327843742,23.18049400320455,0.0002
31,0.7239752825715285,0.24803118743392977,22.950203292350462,0.0002
32,0.7252443339109067,0.24990861453491833,22.9041877913425,0.0002
33,0.7061140285253216,0.24993622685226968,22.96775286672013,0.0002
34,0.6999155640986625,0.2512188276545389,22.978631668062555,0.0002
35,0.6960801877468904,0.2521966630395913,23.104504816464534,0.0002
36,0.7143355882168535,0.2518347218668783,22.769664638079487,0.0002
37,0.7029826058456949,0.25240192432312947,23.041316740464993,0.0002
38,0.6799215855477042,0.25262106627114916,23.1997256802539,0.0002
39,0.6797665557293007,0.25392569355079825,23.049888544032108,0.0002
40,0.6704169683565957,0.25373436566788254,22.998540394271696,0.0002
41,0.6618610177603355,0.2534844520070927,23.105103545121114,0.0002
42,0.6511816600760211,0.25266296007093514,23.24040334690531,0.0002
43,0.6496123922481263,0.25323224298540253,23.065592579786173,0.0002
44,0.6567886708722492,0.2529523951036677,22.66826920993048,0.0002
45,0.6520269130778535,0.25378343460961345,23.07993947738377,0.0002
46,0.6452275858687929,0.2539430835551561,22.85749798298841,0.0002
47,0.6297012378435366,0.25306620353718406,22.684943728510472,0.0002
48,0.6832775072592148,0.25364034795549056,23.149681799330054,0.0002
49,0.6361307610726332,0.25439638921866164,23.239508323559644,0.0002
50,0.6284351679005502,0.2528036809328881,23.245859675295634,0.0002
51,0.6150914309065811,0.25419226019054353,23.035487108184558,0.0002
52,0.6118645627970556,0.2545971907476362,23.20702140798142,0.0002
53,0.6140784839619764,0.2539774963899467,23.267260007739814,0.0002
54,0.607093232170747,0.2524998752435844,23.387445323311233,0.0002
55,0.6037525929970234,0.2551866539088947,23.035980038596698,0.0002
56,0.6028237766115287,0.25315622191761034,23.12446206085451,0.0002
57,0.5966438231523613,0.253588950241662,23.261519901635804,0.0002
58,0.5946844140534422,0.25436145426115264,23.281851940032006,0.0002
59,0.5955179202836419,0.25316205281183424,23.301322333683608,0.0002
