epoch,train_loss,val_psnr,val_lpips,d_loss,g_loss
1,1.6949148233965114,17.209183851502246,0.28758821904957416,0.0,0.0
2,1.572233909481155,17.266403138813253,0.2737647485802342,0.0,0.0
3,1.5565365704244885,17.24683521322942,0.2913743128965846,0.0,0.0
4,1.5444888342575445,17.24795575330304,0.28261205077611645,0.0,0.0
5,1.5357231625282042,17.272102078543767,0.28804070515577246,0.0,0.0
6,1.523147752639989,17.203540006899363,0.3026008668954577,0.0,0.0
7,1.5197756804204101,17.27568187220032,0.2886595516572185,0.0,0.0
8,1.5116759337169565,17.181052175790068,0.31322653114361304,0.0,0.0
9,1.4986024092429049,17.296064889598235,0.28719866139857436,0.0,0.0
10,1.489728304743798,17.30147966163038,0.27769230936835654,0.0,0.0
11,1.4776342409859153,17.264835897689956,0.29490389645188764,0.0,0.0
12,1.4787551287421732,17.309788344750913,0.2899760394459964,0.0,0.0
13,1.4652808130999406,17.303248455008433,0.2807416536176194,0.0,0.0
14,1.447269092444033,17.327669138725994,0.279015250637172,0.0,0.0
15,1.442527795676224,17.340348238758992,0.27504071968599014,0.0,0.0
16,1.4321837147520635,17.34964642710211,0.27875255125460124,0.0,0.0
17,1.427864243393156,17.31811234115618,0.2767135483087389,0.0,0.0
18,1.4234650572591698,17.324710459527623,0.27708660569107973,0.0,0.0
19,1.4146387461484256,17.36174716453413,0.26640658626437935,0.0,0.0
20,1.4030378607581184,17.344732770051337,0.2638531343523652,0.0,0.0
21,2.444292034907301,16.491080252159076,0.4004535920838203,0.7212520751953125,0.9695046997070312
22,3.2921237733114594,16.742831824832336,0.357198773861054,0.04715141010284424,1.8281015625
23,3.46503826304372,16.74708341392501,0.33570914216327213,0.02525961112976074,2.0039296875
24,3.6697775914117403,16.891887305746778,0.3377576337428326,0.021956939697265625,2.19390625
25,3.7951232830826207,17.307802004637434,0.2824073198908055,0.0015576367378234864,2.34775
26,3.7983700043500614,17.06766555843442,0.312384765399508,0.0008968582153320312,2.345796875
27,3.8347659107955137,17.01381677413933,0.31449834652838693,0.00018507003784179688,2.3701875
28,3.814492944412248,16.82493004999373,0.3331005402022004,0.0002605738639831543,2.3491875
29,3.6629135758330658,16.964368106899688,0.3477604971471096,0.10681592321395875,2.1791015625
30,3.9946495052956625,17.123510791790743,0.3021299331517066,0.0009499945640563964,2.443875
31,4.027112519895726,16.830814411259137,0.33109204163628303,0.0003975563049316406,2.511890625
32,4.06146438756876,16.627210530571286,0.3670596002483668,0.0001439495086669922,2.500734375
33,4.00749443403609,16.589006446458317,0.35402201574292347,0.00014497947692871093,2.495453125
34,4.185971938752036,17.200353263300247,0.3172990563882522,7.163047790527344e-05,2.539921875
35,4.109552341132417,17.21511633244886,0.31089195898233307,3.539323806762695e-05,2.537609375
36,4.06144432798319,17.222407826543808,0.3153800380180359,1.9561767578125e-05,2.523171875
37,4.03923768201939,17.248094717274817,0.2992740238560781,1.6762733459472658e-05,2.52015625
38,4.020593156492928,17.223438203522797,0.31026066405082925,1.2136459350585938e-05,2.521421875
39,3.9936819225931033,17.24782371028201,0.2920029928871734,1.0508537292480469e-05,2.515515625
40,4.019731450712968,17.23361766867753,0.2979594928026381,7.656097412109375e-06,2.519828125
41,4.001614789642639,17.240630117667575,0.29842722705420804,8.353233337402344e-06,2.526328125
42,3.9832388359697934,17.25132731898462,0.28250029078995215,6.259441375732422e-06,2.525796875
43,3.987744004884228,17.268633020099237,0.2870182645352335,7.045269012451172e-06,2.536640625
