epoch,train_loss,val_psnr
1,3.7105160748374364,17.525089858361273
2,2.036616395787388,20.416067989510726
3,1.7705189522280484,22.036454439679037
4,1.6621565464597399,22.393897785872948
5,1.619681816925174,22.610872643686236
6,1.5990074919375092,22.65472444159502
7,1.5716033762628216,22.656432499543055
8,1.5619361227693322,22.831648901819307
9,1.5477125118924795,22.82997724698231
10,1.5386571367940218,22.883695595878795
11,1.5306513155666348,22.935215752724424
12,1.52491531359871,22.948370191284422
13,1.5162490004280165,22.97721404372805
14,1.51841006171477,22.963971485661244
15,1.5047624129045214,23.06918639477599
16,1.4979841164344216,23.116609784742213
17,1.4949004343744265,22.730627979868537
18,1.4957665652032148,23.155150052675538
19,1.4857848519090304,23.182948514581657
20,1.4841687420611371,22.91383491951346
21,1.483081628680792,23.193238115495987
22,1.478221554637907,23.236158473324128
23,1.4730944756283073,23.27064279163877
24,1.4669716080445687,23.298679454141226
25,1.461747557523136,23.320135654871006
26,1.4624101790211907,23.37926182760104
27,1.4577917698647611,23.262124790629766
28,1.4536063145428302,23.359828669821997
29,1.4553156031398005,23.34036325060323
30,1.4486088560852832,23.44184079181656
31,1.4447464350498256,23.45916518494777
32,1.4502799767287653,23.440801831768727
33,1.444989002112184,23.440620143187584
34,1.4426936978139668,23.40499582984327
35,1.437986544494031,23.34987536171937
36,1.4372442516130783,23.541854361211115
37,1.4333955172345716,23.312048878139915
38,1.4300559738922485,23.45605375437179
39,1.4317708596037813,23.580436481823
40,1.4275086983492393,23.48708479073988
41,1.424760880356295,23.51982328560357
42,1.425740542297745,23.485207305737624
43,1.4180435265360316,23.53190868250302
44,1.4208005741890093,23.601452303001427
45,1.4176622408686428,23.502998617814015
46,1.4169102343379412,23.606950153690423
47,1.4121444567504318,23.676399060705318
48,1.4104637945954148,23.615668916766897
49,1.4063591250248204,23.644972821700627
50,1.4027889546225791,23.62104900230177
51,1.4023806561301801,23.673461852802976
52,1.4007034195733075,23.703260796450294
53,1.398636093981432,23.663949632695484
54,1.3948947061376455,23.59335195684721
55,1.3945840462522638,23.706415660079415
56,1.3918774379570398,23.63668179517886
57,1.3876229361377694,23.75633865767606
58,1.389583585627969,23.714995840653835
59,1.3862432020985733,23.740722649466935
60,1.3847934292639115,23.790207828808963
61,1.3851222246969295,23.638014050950662
62,1.3818779953804776,23.785141856345987
63,1.3772462967724497,23.813457700192526
64,1.3751730607839987,23.686983374231176
65,1.3728626736496314,23.694840451691263
66,1.3708801039552712,23.767878988832084
67,1.3702749327517063,23.753870930015633
68,1.3649633435111033,23.758440446877472
69,1.3643670796256528,23.858270474837926
70,1.3686595209934125,23.70132979669499
71,1.3599303377970895,23.88116465294941
72,1.3607357157572302,23.904662697637868
73,1.3599402779444885,23.29439375075587
74,1.3600327814921496,23.80994278363731
75,1.3527654107918947,23.86219127518209
76,1.354045204054274,23.826268271041965
77,1.3521547793260318,23.926356172537503
78,1.3477713540906342,23.88175560405136
79,1.3492222870701018,23.74648071700505
80,1.3428167890428127,23.753290169604945
81,1.3447645534393244,23.803506626412585
82,1.342342843902012,23.79068237714867
83,1.3402745269656846,23.84437200682432
84,1.3416462763666674,23.75921406748272
85,1.3375627216222736,23.94013774732779
86,1.3374734038236662,23.699788332026063
87,1.3325036729700295,24.019645793046564
88,1.3333400172120584,23.96509927337395
89,1.3302375630268208,23.74458306860297
90,1.3278891896139227,23.98126334458864
91,1.324606030358204,23.87935387065361
92,1.3242208742036021,23.788815409811733
93,1.3226055401697654,23.81316418648586
94,1.3246605905426783,23.978604991056336
95,1.322386660946913,23.82552020890839
96,1.3205031513111383,23.78126606942954
97,1.3190145176785975,23.86350990703509
98,1.3132763947389932,23.944670425113184
99,1.311842626466708,23.87347781997867
100,1.3112667402172118,24.02655132152185
101,1.3121329940699866,23.93469629966263
102,1.3105462540531765,23.73887034146663
103,1.3072277449515741,23.59540584435011
104,1.3059229992775452,23.901456935048106
105,1.3052790302186064,23.9228517736476
106,1.3025609425456366,23.99482066967545
107,1.3021363300235451,23.930436263740297
108,1.3026554864794972,23.830391304836823
109,1.2977776888762804,23.896118320722064
110,1.2972644843017365,23.90965619085282
111,1.294597556487466,23.85764470099952
112,1.2944196504511034,23.8467556476579
113,1.2932827528872601,24.007672384759665
114,1.291089171783157,23.892319590690363
115,1.2933758534350432,23.82149221557109
116,1.2883251718444133,23.819001654222753
117,1.2893373764913965,23.915625756106415
118,1.286558291332317,23.403460577681322
119,1.2919488185802683,23.888041298716836
120,1.2849501251146418,23.93761639592296
121,1.281163230793503,23.897519677010028
122,1.2803286065031037,23.888696772698236
123,1.2779500888755777,23.779829508935393
124,1.2777063316276724,23.673429318884878
