Experiment,Fold,psnr_roi,ssim_roi,mae,calibration_bias,variance_ratio,psnr_enh,ssim_enh,grad_enh,lpips,lpips_enh,sharpness_pred,sharpness_gt,sharpness_ratio,sharpness_ratio_enh
EXP-100_UNET_L1,0,24.05473149891934,0.7460526878404128,0.1978791158542564,-0.0334715744221342,0.9284611268570858,16.90794044782205,0.576682389755257,1.2257216061104406,0.2587255181380893,0.0321431021798329,0.2795386342208666,0.5997624060068767,0.4719759495471231,0.4614909049760187
EXP-100_UNET_L1,1,24.033379281447708,0.7447239267313057,0.2012687424910882,-0.0380653883002731,0.9345160094488154,16.505097712688478,0.569942651180521,1.227854901593738,0.2537690266169966,0.028854763107317,0.2876149364636037,0.5997624060068767,0.4893673162674693,0.4495539145220844
EXP-100_UNET_L1,2,24.287546267540627,0.7460788805776597,0.1900244175181249,-0.0266505381578154,0.9048980393837296,17.07353932698689,0.5848623399331364,1.2145526029168168,0.2581226177893559,0.029098555273606,0.2696650838517692,0.5997624060068767,0.4555160363419849,0.4424623999607101
EXP-100_UNET_L1,3,24.158140766149305,0.7454765785419418,0.1925646967988269,-0.0410999041071891,0.8924564631123786,16.754000436529704,0.5736627856467016,1.229327198619496,0.2622834087447737,0.0276203159939969,0.2732781473212858,0.5997624060068767,0.46220227675819,0.4487506965073546
EXP-100_UNET_L1,4,24.13640020107233,0.7448739647101833,0.1951665546745062,-0.0323666606307975,0.9333661114403028,17.07984514112718,0.5903797773428829,1.2231739288250767,0.2561939516835064,0.0293011828524,0.2830377589661984,0.5997624060068767,0.4781830621261253,0.4810604175775244
EXP-202_ATTENTION_UNET_L1,0,23.96353078366014,0.742324330759528,0.1957292849593153,-0.0193224602051202,0.922649425832472,17.053681423378947,0.5779155296183014,1.223075384130356,0.2684891363842288,0.0300832122691215,0.2771800399289343,0.5997624060068767,0.465955389348763,0.4472919750971013
EXP-202_ATTENTION_UNET_L1,1,24.18079433577806,0.7474775507500495,0.1940358844609922,-0.0151005007791153,0.920350998160734,17.053301246882437,0.582680795955611,1.23175088940948,0.2785563161538377,0.0265699457800705,0.28751991176139,0.5997624060068767,0.4835496055514478,0.472183611241598
EXP-202_ATTENTION_UNET_L1,2,24.24548155526295,0.7477731036396669,0.1944202295208425,-0.0247185050994901,0.943944553691992,17.128156650953386,0.5830885604310169,1.2210287048131183,0.2690613920048136,0.0251621193475223,0.2762234086493233,0.5997624060068767,0.4651279791286245,0.4282299562865092
EXP-202_ATTENTION_UNET_L1,3,24.1198040825972,0.7449597491862139,0.19815876274771,-0.0614249106627037,0.8943516694368142,16.442453977183973,0.5691524672266655,1.2179690394285134,0.2533017247787771,0.0295879403305401,0.2809636433744785,0.5997624060068767,0.4728918620028021,0.428882244436878
EXP-202_ATTENTION_UNET_L1,4,24.01926424776412,0.7440424697370909,0.1993173540061484,0.0076453460572031,0.9552449018583772,17.09596324537153,0.5843772524111708,1.2163251951254646,0.2622170556200227,0.0257702385464644,0.2798926181810883,0.5997624060068767,0.4723887359653534,0.4326845429132804
EXP-204_DENSE_UNET_L1,0,23.80074928181532,0.7448239440478207,0.1999860208805414,-0.0231037981286561,0.9152586363668698,16.603576556844367,0.573946603385153,1.2244498924045488,0.2533606264339462,0.0296360313456917,0.2757600371423859,0.5997624060068767,0.465526344252001,0.4295135103801436
EXP-204_DENSE_UNET_L1,1,23.921324400414875,0.7512498604653799,0.1976119923231701,-0.0238078968152658,0.8566585843329942,16.02539201773606,0.5669803255548016,1.2098320450763602,0.2708599870548686,0.0263855586815509,0.280671074796832,0.5997624060068767,0.4721832714054957,0.383551217922393
EXP-204_DENSE_UNET_L1,2,23.936410158937868,0.7448803174209335,0.2008426415910328,-0.031325905146302,0.9178253152174451,16.70721092711927,0.5837829147358947,1.2153181503069197,0.2392616797149163,0.0256866410444543,0.2743482796145577,0.5997624060068767,0.4627819336033132,0.4119620601988316
EXP-204_DENSE_UNET_L1,3,24.02433928019445,0.7458501962623373,0.2013508326350926,-0.0114002615305693,0.972464453504027,16.987558700894066,0.5869850914595275,1.222066695936952,0.215592820718271,0.0258334036285851,0.276418770069193,0.5997624060068767,0.4658156533428874,0.4424199940031872
EXP-204_DENSE_UNET_L1,4,23.98205442788817,0.7452081938763242,0.2000363940909326,-0.0339276796506707,0.915453734864465,16.421323939529362,0.5775421286133693,1.2138781965041734,0.2391665806099437,0.0294285736170978,0.275958678972739,0.5997624060068767,0.4654207310904701,0.4108290048070709
EXP-303_T1_T2_FLAIR_TO_T1CE,0,24.105044607010772,0.7406667025243474,0.1941881759189573,-0.0339977904875133,0.9470501267173356,17.70239399506841,0.5985189419325706,1.24889646826166,0.2588992237798094,0.032149393195061,0.3067494205577766,0.5997624060068767,0.5155196603421555,0.5589497023822395
EXP-303_T1_T2_FLAIR_TO_T1CE,1,24.366471968586787,0.7434037581128912,0.1884529549378878,-0.0369121265795104,0.8746120411892738,17.27347368197129,0.5905599137809668,1.2379534432285408,0.2630376799087018,0.0312496518900085,0.2906966496094355,0.5997624060068767,0.4941493337311078,0.5166484601057888
EXP-303_T1_T2_FLAIR_TO_T1CE,2,24.342082340595688,0.743028111297088,0.1913680476286121,-0.0260334195697662,0.948590176508783,17.55896954900552,0.5931756486198223,1.2414124051603357,0.2653598293933887,0.0267499012509354,0.290118025079649,0.5997624060068767,0.4935754589249875,0.5244644552746003
EXP-303_T1_T2_FLAIR_TO_T1CE,3,24.63334790945964,0.7453596821788839,0.1870775596321947,-0.0276763032364573,0.9526239426877116,18.21442969652886,0.6066746697877596,1.2333811258177394,0.2564727273417464,0.0291807431846575,0.2973011215632961,0.5997624060068767,0.5057893011801899,0.5395548615847428
