epoch,train_loss,val_psnr,val_lpips,d_loss,g_loss,score
1,77.09881739534318,21.08830221341282,0.38096782729219725,0.6932109497369282,0.7248806865915419,20.897818299766723
2,63.19678863144931,21.589386597061687,0.3339070028136402,0.2961937837184422,0.30515439761063406,21.422433095654867
3,60.33890378563973,21.961108706129888,0.2991884937177765,0.2822641538722174,0.29459836416774327,21.811514459271
4,58.48887052525944,21.816684099400337,0.3173528404739973,0.27555568315207013,0.29825283622457865,21.65800767916334
5,57.80380133518252,21.996132058798672,0.3061828480899878,0.2712632863531037,0.32013164460659027,21.843040634753677
6,58.61471750914392,21.890138787955824,0.30362501161775196,0.26180249227890895,0.34960547077750403,21.738326282146947
7,56.362911250167365,22.298369962080358,0.29509879333217465,0.25403688635144916,0.38303165705431075,22.15082056541427
8,55.464743988237004,22.745665992329943,0.26905837778634795,0.24355428914229074,0.4112535419445189,22.611136803436768
9,54.9148862885988,22.43372063818442,0.2765931293431369,0.2241375440406421,0.43103667277665364,22.29542407351285
10,54.271738441640764,21.895535406516824,0.29167472825517565,0.23409999841972004,0.46365082689694,21.749698042389237
11,53.84505171575542,22.738415486996885,0.29192742915893777,0.23088190060049768,0.4606884416370165,22.592451772417416
12,53.54534893519187,22.429396734933594,0.2794317479573964,0.2099258674988671,0.4766179338570625,22.289680860954896
13,53.29020763155931,21.974297629232485,0.2810997537003533,0.20733500614998832,0.5152413144944206,21.83374775238231
14,53.153573440692874,22.124024609061205,0.285833850418899,0.18723411790080488,0.5511772960187897,21.981107683851757
15,52.74497370831118,22.170569245044614,0.2888441071817805,0.18655973439297033,0.5613361265924242,22.026147191453724
16,52.271582947472865,22.63707367848321,0.2851605344382419,0.17948891021429547,0.5959157026003278,22.494493411264088
17,52.00847013757079,22.400619219755075,0.2854449090749206,0.16042396804643055,0.6315858011680936,22.257896765217616
18,51.725942183733856,22.46744772306363,0.2712270169652484,0.15035792685572116,0.6636916231068354,22.331834214581004
19,51.398154754192504,22.38689141456538,0.27556324873561044,0.14613657474281297,0.6809504928569945,22.249109790197576
20,51.16623678255447,22.29801771966677,0.2734765996899995,0.12811731325373762,0.7053651944512412,22.16127941982177
21,51.23873843437318,22.16696564639491,0.2718936979847512,0.14053648033194124,0.7187366911343166,22.031018797402535
22,50.46827921391141,22.428399359894392,0.2733483217290916,0.11378855326227726,0.7294259073715361,22.291725199029848
23,50.44268892281449,22.396662873805383,0.2788064172219249,0.11933220662767925,0.7445255107882004,22.25725966519442
24,49.96428661858155,22.6207469424866,0.27055683680248277,0.10743516086349411,0.7616714525317388,22.48546852408536
25,49.719274062797425,22.171449598635377,0.2735596701574752,0.11359167453788575,0.7805339314398312,22.03466976355664
26,49.611569658005315,22.21214860375036,0.269317280641051,0.10694841393047855,0.7865893027730404,22.077489963429834
27,49.36048725281381,22.31650458408789,0.27533169389438455,0.09960251187698708,0.7941680976322719,22.178838737140698
28,49.17178326171086,22.00717212927308,0.25989354920106267,0.17434626189430083,0.6826272896594472,21.87722535467255
29,49.10877563450115,22.05174176184628,0.26357119478860336,0.08873561249365883,0.776263646426655,21.91995616445198
30,49.29656128265054,22.187083910979986,0.27616278819067963,0.08505961084590545,0.8192053967052035,22.049002516884645
31,48.90519284057006,21.825413753597708,0.26427220370079224,0.07296867517843134,0.8372907617853748,21.693277651747312
32,48.44006477455918,22.206408550238578,0.276592931245347,0.07509655947427428,0.8591700486602292,22.068112084615905
33,47.891311217851666,22.31966163876369,0.26043440525375106,0.0799341339706665,0.8454065988697703,22.189444436136814
34,47.92794157586355,22.59885220704454,0.2627057432355693,0.06855283581489136,0.8595487380784655,22.467499335426755
35,47.79407558364598,22.18642245369402,0.2673945873189299,0.0642893694873367,0.8836705177312806,22.052725160034555
36,47.283861792308514,22.22741513439988,0.2526728207707555,0.06893452898495728,0.8668678039832721,22.101078724014503
37,47.080316600393324,22.359579023628875,0.2580665520126392,0.11639515796883239,0.80190419952666,22.230545747622557
38,47.01879649318947,22.2623350975531,0.2575119535831786,0.07327635949921041,0.86250163543792,22.13357912076151
39,46.67300378338192,22.50318560218915,0.2616185549534554,0.05406761590007042,0.8941145221155787,22.37237632471242
40,46.49034216678342,22.438562779278325,0.25249638269515273,0.056791511061231766,0.8963834998153505,22.31231458793075
41,46.50338254287036,22.03728232016065,0.25395926299760047,0.04887771324091961,0.9075314329257087,21.91030268866185
42,46.10780134289246,22.237785332814944,0.24911941931213472,0.05101235991432553,0.9087077738746764,22.113225623158876
43,46.21143858406611,21.95864312143177,0.26090822667975083,0.04313457046916324,0.9237015564290304,21.828189008091893
44,45.821553968395705,22.19650497905655,0.2565106100141383,0.05597092894216379,0.9153480843182594,22.06824967404948
45,45.52313943531896,22.17872478730368,0.25330076271559065,0.049654139671474695,0.9137523223956426,22.052074405945884
46,45.56425042774734,22.12477083116433,0.2613366964216705,0.04803259518470556,0.9295543843791598,21.994102482953494
47,44.85943267102934,22.355584081918625,0.254535104347145,0.063160706355813,0.8989759059179396,22.22831652974505
