epoch,train_loss,val_psnr
1,1.07899637651582,22.36898296372426
2,0.8889484269781314,22.28063838977726
3,0.8442375361259842,22.68180345780146
4,0.8146563795690067,22.704390041885592
5,0.7947504901637616,22.675861411161016
6,0.7754681365889953,22.82347201587792
7,0.761679757792601,22.8948826122263
8,0.747782167454503,22.93153493879871
9,0.7321989330822403,22.83063434841047
10,0.7178939491880859,23.155118160164385
11,0.703223331310795,23.092695944245325
12,0.6897178911065145,23.230419568908555
13,0.6846969397203656,23.116536729264425
14,0.6675869309753167,23.06945806020794
15,0.6555183967063307,22.828719131965144
16,0.6483224941842395,23.10712867253137
17,0.6354643660101046,23.239324741253792
18,0.6249200570840182,22.945073001366957
19,0.6160906408432112,23.004882328473816
20,0.6088641769708365,22.981953136891626
21,0.5894765359820342,23.277124576447058
22,0.5886546025989764,23.066310458127624
23,0.5711681355741685,23.184410982039385
24,0.5710005876162099,23.034000687553615
25,0.5621435846694223,23.054859332986243
26,0.5495891174803461,22.93484579800101
27,0.5387505979321956,22.92184250830552
28,0.5359118147334497,23.158874683295537
29,0.5185780168571495,22.95185368535913
30,0.5154768502868327,23.118234865593543
31,0.5064484809595309,23.091095380719672
32,0.4956064484626292,23.026447467760747
33,0.4847724807535618,23.11338513367291
34,0.4762559139263339,22.922381632317347
35,0.47927335902098156,23.058269016689554
36,0.4689822170982686,22.896411292550376
37,0.4599033014023867,22.968760006402583
38,0.4556770883144578,22.962852292037518
39,0.4501786068661476,22.93978165863332
40,0.4447954273435174,22.80510329487536
41,0.44544235240913327,22.753833346408864
42,0.4348649964328118,22.913809709540942
43,0.4279364279602674,22.8638618516998
44,0.4242040097847722,22.782752685579823
45,0.42069966761833905,23.02532564874178
