epoch,train_loss,val_psnr,val_lpips,d_loss,g_loss
1,0.736454723299238,22.004374961015632,0.2554088766356017,0.0,0.0
2,0.6357281832186426,22.079773814841047,0.23127677221161672,0.0,0.0
3,0.6105677084434337,23.044458982150523,0.21739202646447534,0.0,0.0
4,0.5930016741278223,22.61325159789175,0.2257847644807945,0.0,0.0
5,0.5776883997455025,23.14749924134611,0.21170540871702215,0.0,0.0
6,0.5616196562794571,22.68731356381297,0.22364238025883101,0.0,0.0
7,0.5527902936493193,23.738802930316396,0.20720268056262758,0.0,0.0
8,0.545117245630524,23.150590835496313,0.21356461042024374,0.0,0.0
9,0.5336393751671172,22.560776622320805,0.2296025637413418,0.0,0.0
10,0.5230623712121223,23.16731032663272,0.22801494975046674,0.0,0.0
11,0.5117415685244293,23.296104969453065,0.22838030536120985,0.0,0.0
12,0.5066747459959956,23.573634331643582,0.2130717630288473,0.0,0.0
13,0.5001193523006887,23.40270303330026,0.21589635817285707,0.0,0.0
14,0.48691921611705236,23.586300216475344,0.21658842685165147,0.0,0.0
15,0.48410714789332404,23.597950955869337,0.2150280240840985,0.0,0.0
16,0.4722768590072466,23.815178074163157,0.2301153522923896,0.0,0.0
17,0.46545503707976804,23.483616794961016,0.21935114173071552,0.0,0.0
18,0.46208863397716254,23.964343145880445,0.21055701241267474,0.0,0.0
19,0.45316015573691004,23.273633459798493,0.22415773649282553,0.0,0.0
20,0.4466028365731585,23.97841856135145,0.21842198621095055,0.0,0.0
21,0.4112834477095595,23.90731222287079,0.2166084893493297,2.021453125,-0.05647200965881348
22,0.36303938099817856,23.212630238031604,0.22586393179571002,1.9918125,-0.11231233978271485
23,0.4106455590396429,23.278056437789694,0.23139227281498706,1.993625,-0.09633293151855468
24,0.402175546137107,23.882065248477893,0.20806892295410262,2.0029921875,-0.08956753540039063
25,0.38276880666531665,23.077719218608653,0.21581647538933074,1.9938046875,-0.117060791015625
26,0.40263995191214,23.258935594725266,0.2187641075054194,1.994125,-0.10614968872070313
27,0.4427963137272411,22.5856033260665,0.2220556335155372,1.99721875,-0.050084850311279294
28,0.42485297533451155,23.192641932809217,0.21696107083320612,1.9943203125,-0.06429826354980468
29,0.47666686221124105,22.592443187253163,0.22011675530343486,1.99715625,-0.018894802093505858
30,0.471295446596589,22.395562138289463,0.22058011074235234,1.9948671875,-0.018717369079589843
31,0.5140142564362349,23.01792710872758,0.21416041057292026,2.0131171875,0.07185171604156494
32,0.4689788658243744,22.826552466273885,0.20927660310249535,1.997296875,0.010847928047180176
33,0.5141722380703622,23.10269943667141,0.21051901934773712,1.99665625,0.054748809814453125
34,0.507893112618823,22.877185270040112,0.21370327445293585,1.9988828125,0.045036849975585935
35,0.4774063899135134,23.225103099181776,0.19685326149118543,1.9959453125,0.013779071807861329
36,0.46421309968095686,23.387675033426625,0.2191060648871151,1.9942109375,0.002932991981506348
37,0.441096728528021,22.86424543544908,0.20070763969647346,1.997546875,-0.010871659755706788
38,0.36990964862725234,23.90771668977218,0.20509325621909935,2.00215625,-0.08294303321838378
39,0.35055787560519514,23.1003215723794,0.2090814985801866,1.996171875,-0.07763898468017578
40,0.3901479663536759,23.572904253082825,0.22373284137668584,1.99609375,-0.04491166687011719
41,0.3640738515562623,23.001430940868172,0.2167522744853752,1.9954921875,-0.07678063774108887
42,0.4092355007797917,23.01913086369724,0.2100351873717341,1.999609375,-0.025838478088378906
43,0.412801290955898,23.427258675557475,0.20351267876941176,1.9994921875,-0.021193153381347658
44,0.3764971685108348,23.16966862697733,0.20891042771501311,1.9948828125,-0.05895880889892578
