epoch,lr,train_loss,val_psnr,val_lpips,nan_batches,d_loss,g_loss
1,0.0001,1.791257026695436,21.876073237827846,0.272960421868733,1,0.0,0.0
2,9.999506529926642e-05,1.6075316228866576,22.12552043369838,0.24912491653646743,0,0.0,0.0
3,9.998026241462927e-05,1.5719138307571412,22.07373379298619,0.2672405196087701,0,0.0,0.0
4,9.99555949984788e-05,1.5535302410125733,22.244414302280973,0.25038046964577265,0,0.0,0.0
5,9.992106913713087e-05,1.5363453722000122,22.524736513410296,0.2515750105891909,0,0.0,0.0
6,9.987669334932513e-05,1.5214643621444701,22.786022676740373,0.22345216018812997,0,0.0,0.0
7,9.98224785841232e-05,1.504139937400818,22.79891722542899,0.243807099546705,0,0.0,0.0
8,9.97584382182072e-05,1.4888125331171098,23.013214383806503,0.22662255593708583,1,0.0,0.0
9,9.968458805257911e-05,1.4740362453460694,22.7347775050572,0.2362813889980316,0,0.0,0.0
10,9.96009463086623e-05,1.4603636665344237,23.388167681012835,0.21834964049713954,0,0.0,0.0
11,9.950753362380551e-05,1.4928645191192627,22.988888331821986,0.24015614432947976,0,0.0,0.0
12,9.940437304619096e-05,1.4697350425720215,23.05427611214774,0.23744074829987116,0,0.0,0.0
13,9.929149002914754e-05,1.4493249368667602,22.808859525408064,0.24012820380074637,0,0.0,0.0
14,9.916891242487063e-05,1.434843960762024,22.967284120832172,0.22702315832887376,0,0.0,0.0
15,9.90366704775499e-05,1.4240343351364135,23.35941516331264,0.23127296609537942,0,0.0,0.0
16,9.889479681590706e-05,1.412236819267273,23.214529527936662,0.22598611882754735,0,0.0,0.0
17,9.874332644514523e-05,1.401888285636902,23.38729602268764,0.22186637137617385,0,0.0,0.0
18,9.858229673831191e-05,1.3890476245880128,23.593271800449916,0.22534231884138925,0,0.0,0.0
19,9.841174742707771e-05,1.3857704010009766,23.190628378731862,0.22736373607601437,0,0.0,0.0
20,9.823172059193318e-05,1.3746167707443238,23.322164644513812,0.2229291869061334,0,0.0,0.0
21,9.804226065180612e-05,1.3683481206893922,23.466770935058594,0.216791056735175,0,0.0,0.0
22,9.784341435310179e-05,1.3612242794036866,23.577815519060408,0.21604524403810502,0,0.0,0.0
23,9.7635230758169e-05,1.3531564016342164,23.40657114301409,0.22428760336978096,0,0.0,0.0
24,9.741776123319468e-05,1.3455382432937621,23.648836953299387,0.229622545838356,0,0.0,0.0
