epoch,lr,train_loss,val_psnr,val_lpips,nan_batches,d_loss,g_loss
1,0.0001,2.0974620756555775,21.942740631103515,0.26531713349478586,3,0.0,0.0
2,9.999506529926642e-05,1.8356364040374755,22.17347820826939,0.2550886090312685,0,0.0,0.0
3,9.998026241462927e-05,1.7899405794143677,22.040798841203962,0.26182579014982493,0,0.0,0.0
4,9.99555949984788e-05,1.7645731220245362,22.281052943638393,0.240664832506861,0,0.0,0.0
5,9.992106913713087e-05,1.7381611604690552,22.374648012433735,0.24590765024934497,0,0.0,0.0
6,9.987669334932513e-05,1.720286989212036,22.9142087663923,0.2051232878650938,0,0.0,0.0
7,9.98224785841232e-05,1.6946217937469483,22.971547154017856,0.2268471177135195,0,0.0,0.0
8,9.97584382182072e-05,1.6748649377822875,23.032320186070034,0.20901363704885756,0,0.0,0.0
9,9.968458805257911e-05,1.6561575050354005,22.62737922668457,0.2308242176260267,0,0.0,0.0
10,9.96009463086623e-05,1.6354706878662109,23.36578505379813,0.20681101956537792,0,0.0,0.0
11,9.950753362380551e-05,1.6769474201202392,22.793660954066684,0.21941022234303612,0,0.0,0.0
12,9.940437304619096e-05,1.6534114227294923,23.166015461512973,0.21556668664727893,0,0.0,0.0
13,9.929149002914754e-05,1.6183597869873048,23.200269644601004,0.1981769676719393,0,0.0,0.0
14,9.916891242487063e-05,1.6046377897262574,23.018323135375976,0.21400544728551593,0,0.0,0.0
15,9.90366704775499e-05,1.5852914228439332,23.40165285382952,0.21341203238282885,0,0.0,0.0
16,9.889479681590706e-05,1.5752785301208496,23.288584790910992,0.22258315001215254,0,0.0,0.0
17,9.874332644514523e-05,1.5617709798812867,23.18359282357352,0.22493741299424852,0,0.0,0.0
18,9.858229673831191e-05,1.5482992391586303,23.424715532575334,0.2217569087232862,0,0.0,0.0
19,9.841174742707771e-05,1.5377909183502196,23.406029673985074,0.20992331675120762,0,0.0,0.0
20,9.823172059193318e-05,1.5268940534591675,23.336354555402483,0.20634284445217677,0,0.0,0.0
21,9.804226065180612e-05,1.5166960849761963,23.32796205793108,0.2218880934374673,0,0.0,0.0
22,9.784341435310179e-05,1.5092054290771484,23.379410008021765,0.21273332791669028,0,0.0,0.0
23,9.7635230758169e-05,1.4983497037887574,23.457188633510043,0.22393570712634495,0,0.0,0.0
24,9.741776123319468e-05,1.4881087417602539,23.729780905587333,0.2153968917472022,0,0.0,0.0
25,9.719105943553004e-05,1.4818959894180297,23.79325850350516,0.21626918486186436,0,0.0,0.0
26,9.695518130045145e-05,1.4729452123641968,23.87990711757115,0.21341612637043,0,0.0,0.0
27,9.671018502735923e-05,1.4667301874160767,23.7681948525565,0.20598060275827135,0,0.0,0.0
28,9.64561310654178e-05,1.4620639848709107,23.61188632420131,0.21634375751018525,0,0.0,0.0
29,9.619308209864077e-05,1.4535322284698486,23.655805805751257,0.21451971169028963,0,0.0,0.0
30,9.592110303042461e-05,1.450131567955017,23.706906345912387,0.21412224684442793,0,0.0,0.0
31,9.56402609675347e-05,1.441251296043396,23.64700175694057,0.2168172951255526,0,0.0,0.0
32,9.535062520354773e-05,1.4366408424377441,23.603086907523018,0.21472678163221903,0,0.0,0.0
33,9.505226720175452e-05,1.4275613907844789,23.749034663609095,0.21108925129686082,1,0.0,0.0
34,9.474526057752763e-05,1.4245321054458617,23.739694431849887,0.20925949301038468,0,0.0,0.0
35,9.442968108015773e-05,1.4195051250457764,23.815841565813336,0.20968240414346967,0,0.0,0.0
36,9.410560657416367e-05,1.4148995008468628,23.88834043230329,0.21294915016208377,0,0.0,0.0
37,9.377311702008058e-05,1.4080935306549072,23.820343562534877,0.20956721092973438,0,0.0,0.0
38,9.343229445473079e-05,1.4044927749633789,23.731795501708984,0.216678492299148,0,0.0,0.0
39,9.308322297098245e-05,1.3988737325668334,23.839624459402902,0.21246873544795172,0,0.0,0.0
40,9.272598869700092e-05,1.3951405248641968,23.686865179879323,0.20874850494521005,0,0.0,0.0
41,9.236067977499788e-05,1.3917429876327514,23.692364501953126,0.2182555479662759,0,0.0,0.0
42,9.198738633948361e-05,1.3857094964981078,23.77663138253348,0.21288868955203466,0,0.0,0.0
43,9.16062004950276e-05,1.3820000324249269,23.631916645595005,0.22502576879092626,0,0.0,0.0
44,9.121721629353316e-05,1.3785928106307983,23.788059725080217,0.21490318988050733,0,0.0,0.0
45,9.082052971103155e-05,1.3738724536895752,23.87722369602748,0.21916644275188446,0,0.0,0.0
46,9.041623862400122e-05,1.3688286180496216,23.72791017804827,0.21990097761154176,0,0.0,0.0
47,9.000444278521836e-05,1.3669884309768676,23.79582574026925,0.2085140539067132,0,0.0,0.0
48,8.958524379914436e-05,1.3624580917358398,23.947030203683035,0.20880433597734996,0,0.0,0.0
49,8.915874509685644e-05,1.3585126159652587,23.79934643336705,0.22561369027410236,1,0.0,0.0
50,8.872505191052754e-05,1.353707522392273,23.741079766409737,0.2154805615544319,0,0.0,0.0
51,8.828427124746188e-05,1.350227918624878,23.854732785906112,0.21102797048432487,0,0.0,0.0
52,8.783651186369255e-05,1.3465523118972778,23.88589357648577,0.2167582113827978,0,0.0,0.0
