epoch,lr,train_loss,val_psnr,val_lpips,nan_batches,d_loss,g_loss
1,0.0001,1.263195570499178,22.305701673030853,0.21020976221188903,2,0.0,0.0
2,9.999506529926642e-05,0.9387473734095693,22.822853326797485,0.2266666516661644,0,0.0,0.0
3,9.998026241462927e-05,0.9113197769038379,22.85083681344986,0.1920307744294405,0,0.0,0.0
4,9.99555949984788e-05,0.8928626980632544,23.0208683013916,0.20443639950826764,0,0.0,0.0
5,9.992106913713087e-05,0.8758090157061815,22.750257968902588,0.18589014816097915,0,0.0,0.0
6,9.987669334932513e-05,0.8622149610891938,22.992377281188965,0.1861661362927407,0,0.0,0.0
7,9.98224785841232e-05,0.8458515289239585,22.781176209449768,0.1847842917777598,0,0.0,0.0
8,9.97584382182072e-05,0.8302433788776398,23.135584592819214,0.18252697749994695,0,0.0,0.0
9,9.968458805257911e-05,0.817655093036592,22.989452004432678,0.18847004394046962,0,0.0,0.0
10,9.96009463086623e-05,0.8083858283485953,23.156290292739868,0.1836482770740986,1,0.0,0.0
11,9.950753362380551e-05,0.8311402886174619,22.995919704437256,0.18454561126418412,0,0.0,0.0
12,9.940437304619096e-05,0.8069546082988381,23.061494529247284,0.18580388138070703,0,0.0,0.0
13,9.929149002914754e-05,0.802169606089592,23.310133695602417,0.18372784252278507,0,0.0,0.0
14,9.916891242487063e-05,0.7813548180274665,23.294863641262054,0.18731579510495067,0,0.0,0.0
15,9.90366704775499e-05,0.7676851521246135,23.398395895957947,0.18749785795807838,0,0.0,0.0
16,9.889479681590706e-05,0.7540791658684611,23.398317396640778,0.18219413328915834,0,0.0,0.0
17,9.874332644514523e-05,0.7404757607728243,23.103821575641632,0.18625140259973705,0,0.0,0.0
18,9.858229673831191e-05,0.7272831110749394,23.332562744617462,0.19023047643713653,0,0.0,0.0
19,9.841174742707771e-05,0.7171236518770456,23.190345346927643,0.18496873113326728,0,0.0,0.0
20,9.823172059193318e-05,0.7023102098610252,23.449967861175537,0.18638707767240703,0,0.0,0.0
21,9.804226065180612e-05,0.6914391652680933,23.2592693567276,0.1891704173758626,0,0.0,0.0
22,9.784341435310179e-05,0.678710840176791,23.46035587787628,0.1880229003727436,0,0.0,0.0
23,9.7635230758169e-05,0.6707940853666514,23.11753511428833,0.19082299573346972,0,0.0,0.0
24,9.741776123319468e-05,0.65952088823542,23.2813378572464,0.18970618466846645,0,0.0,0.0
25,9.719105943553004e-05,0.6504813143983483,23.312826335430145,0.1887675728648901,0,0.0,0.0
