epoch,g_loss,d_loss,val_psnr,lr
1,1.57753119742171,0.32422774228840046,21.785506759958604,0.0002
2,1.2624114960614217,0.2553663931880744,22.542375013177764,0.0002
3,1.451390905740975,0.4680651170832976,23.2099325386218,0.0002
4,1.103756153018389,0.25911312363459016,23.09718523727985,0.0002
5,1.0769158362480753,0.25390710339899136,22.892702859059813,0.0002
6,1.0571347726929867,0.2594746682436311,22.102074589545193,0.0002
7,1.0332488521703003,0.2598933713228212,23.932409443148217,0.0002
8,1.0398055442931888,0.26956851992834757,23.725001028639255,0.0002
9,1.005581092277189,0.25761593029822316,23.40335981517786,0.0002
10,0.981195211808864,0.26064550123513747,23.427086196745442,0.0002
11,1.097202588947258,0.26259498200699993,23.277422489600006,0.0002
12,1.066843974504954,0.2589357414038457,23.164814969664963,0.0002
13,1.013149714865695,0.25828803692181895,23.76099596707066,0.0002
14,0.9887944029970683,0.2577826081308133,22.75540858027301,0.0002
15,0.9736462196524855,0.2558002232108516,23.980198281112383,0.0002
16,0.9795923680475482,0.25682406769128424,23.722411339657715,0.0002
17,0.9885853113337245,0.25295346556070397,23.478871366059607,0.0002
18,0.973094483774539,0.25718629596560066,23.43970412538302,0.0002
19,0.9423940242967094,0.2498583237924961,22.83237173245526,0.0002
20,0.9618386882966187,0.25224704537757875,23.411543866689197,0.0002
21,0.9170056342345009,0.253731403926578,23.1668320725871,0.0002
22,0.9342556266037264,0.25482921240675294,23.588647345206535,0.0002
23,0.9923033732574078,0.385812682359348,23.33533820439233,0.0002
24,0.8358650020884348,0.2460756103795602,23.77018175808366,0.0002
25,0.8599754227903939,0.24677370617799677,23.419193370122418,0.0002
26,0.830380887918799,0.2491841808358163,23.266715233830883,0.0002
27,0.8216440028486972,0.24982650671390824,23.6948698248602,0.0002
28,0.9372114929403125,0.2506172560252921,22.023576130705315,0.0002
29,0.8459049395838169,0.2499274596968027,22.984233195686144,0.0002
30,0.8537950429233346,0.2515183876551639,19.842659154399726,0.0002
31,1.0058425883442152,0.25123056493179824,23.219413696194426,0.0002
32,0.8413446144384603,0.2515766138829195,23.353044939180798,0.0002
33,0.7916622871719271,0.25207170782456845,23.10804753324494,0.0002
34,0.7744687790251091,0.25495316062318135,23.89222182544904,0.0002
35,0.7535886973731846,0.25122184036152456,23.257078055140138,0.0002
36,0.7514975432748412,0.2523952313459659,23.36548919010149,0.0002
37,0.7378001827603424,0.2541232467686487,23.545817177720867,0.0002
38,0.7268544520750304,0.2557961878571913,23.566343464248902,0.0002
39,0.7187299155613981,0.25270842049484377,23.815991313124282,0.0002
40,0.7111186980632277,0.2549539094959382,23.594255168168104,0.0002
41,0.6994423422253861,0.253224336365469,23.45061470451634,0.0002
42,0.696370664540848,0.2552033569608612,23.9178122315871,0.0002
43,0.6921048893374844,0.25363963911888426,23.878682156961002,0.0002
44,0.6851117996621405,0.2561519790682911,23.366944061142508,0.0002
45,0.6795293526105852,0.25505533025608484,23.8963767392139,0.0002
46,0.671356015628512,0.25399469540471403,23.64305898808301,0.0002
47,1.0242007192746008,0.5053697770429674,23.430631303904725,0.0002
48,0.6760534996445546,0.25506582961426116,23.969504812749086,0.0002
49,0.6459282206972271,0.25271780405407,24.02895098408394,0.0002
50,0.6347764243571768,0.2503318028249747,23.78926314627924,0.0002
51,0.6444565486392394,0.25170762858761336,24.013284730862274,0.0002
52,0.6348090199916347,0.2519317300118126,24.043342147497103,0.0002
53,0.6269432630037386,0.25367122075912524,23.902503524490466,0.0002
54,0.6262960104441285,0.2533947617804944,23.84174940245495,0.0002
55,0.6296441258880441,0.25363296935913443,23.75061067175066,0.0002
