epoch,lr,train_loss,val_psnr,val_lpips,d_loss,g_loss
1,0.0001,0.9536588634681714,22.815490988615913,0.2637919850958127,0.0,0.0
2,9.999506529926642e-05,0.8311868638327361,22.029408421353065,0.2687062709755873,0.0,0.0
3,9.998026241462927e-05,0.817662639552507,23.227755730668186,0.26403430820482526,0.0,0.0
4,9.99555949984788e-05,0.8086688460656776,23.186203595757483,0.26904214783202274,0.0,0.0
5,9.992106913713087e-05,0.796716098244826,23.127117967809802,0.2499583720446722,0.0,0.0
6,9.987669334932513e-05,0.7935620531400979,23.412669529356286,0.2536366010690533,0.0,0.0
7,9.98224785841232e-05,0.7871981667842531,23.56281835700242,0.2421403411616182,0.0,0.0
8,9.97584382182072e-05,0.7751797489499791,23.364092629432943,0.23523307223070422,0.0,0.0
9,9.968458805257911e-05,0.7690425032954102,23.58465788031161,0.22576611354882842,0.0,0.0
10,9.96009463086623e-05,0.7622637433395927,23.6843524320235,0.2231052070218651,0.0,0.0
11,9.950753362380551e-05,0.756586584984334,23.669693531358046,0.23419656661699215,0.0,0.0
12,9.940437304619096e-05,0.7461027683614849,23.253702484026427,0.23515340083079306,0.0,0.0
13,9.929149002914754e-05,0.7417609423997656,23.88301886829835,0.22490990538642472,0.0,0.0
14,9.916891242487063e-05,0.7299011635196414,23.863362823207705,0.23296771553740245,0.0,0.0
15,9.90366704775499e-05,0.7204910630603417,23.665529571311104,0.23325521343242486,0.0,0.0
16,9.889479681590706e-05,0.7135993761445417,23.961122178997297,0.2319556382487234,0.0,0.0
17,9.874332644514523e-05,0.7043053068551242,24.065495456904138,0.22667770890162636,0.0,0.0
18,9.858229673831191e-05,0.6944390472810232,23.82984449523179,0.23723850073166913,0.0,0.0
19,9.841174742707771e-05,0.6887759913847173,23.60152799749429,0.2378708962203637,0.0,0.0
20,9.823172059193318e-05,0.674458938067839,23.99652202465543,0.2240493629019784,0.0,0.0
21,9.804226065180612e-05,0.6660829293195009,24.148869534813493,0.22058109294174846,0.0,0.0
22,9.784341435310179e-05,0.656817365593817,24.031203181348925,0.23204153641814826,0.0,0.0
23,9.7635230758169e-05,0.6484157154041357,24.16425513530784,0.23124547338690662,0.0,0.0
24,9.741776123319468e-05,0.6336820716350965,23.882783283494426,0.23989389872508812,0.0,0.0
25,9.719105943553004e-05,0.6305949503870982,24.017577954650807,0.2312983427068073,0.0,0.0
26,9.695518130045145e-05,0.6255775863623836,24.03031615524357,0.2300213913175188,0.0,0.0
27,9.671018502735923e-05,0.6179486402970913,24.129259538568398,0.24595976635172503,0.0,0.0
28,9.64561310654178e-05,0.6091679381836884,23.955961384059457,0.23858942403958752,0.0,0.0
29,9.619308209864077e-05,0.598571767282284,24.04064341266947,0.24360528666484324,0.0,0.0
30,9.592110303042461e-05,0.5955547832966245,24.10369632577227,0.23663866406730008,0.0,0.0
31,9.56402609675347e-05,0.5893461567884084,24.02563884593617,0.24445913469618824,0.0,0.0
32,9.535062520354773e-05,0.5814452766906976,23.940839324650412,0.24279974181186295,0.0,0.0
33,9.505226720175452e-05,0.5801631388200116,24.009218590552333,0.24640658831368145,0.0,0.0
34,9.474526057752763e-05,0.5721149217624736,23.980093703911656,0.23842593190499503,0.0,0.0
35,9.442968108015773e-05,0.5676385170959312,24.20272063517478,0.2484603468151012,0.0,0.0
36,9.410560657416367e-05,0.5672321435951396,23.898948063152893,0.24085325591835213,0.0,0.0
37,9.377311702008058e-05,0.558466152623322,23.71505796572357,0.25200380718319887,0.0,0.0
38,9.343229445473079e-05,0.5511552736318261,23.665224286538592,0.2526994768340316,0.0,0.0
39,9.308322297098245e-05,0.5449002310793786,23.941648857905623,0.24726398239564212,0.0,0.0
40,9.272598869700092e-05,0.5423647372288735,24.19487996091293,0.24965455780389464,0.0,0.0
41,9.236067977499788e-05,0.5377048425244275,23.855051633286113,0.25186915603321514,0.0,0.0
42,9.198738633948361e-05,0.5331648284962415,23.839054264341883,0.24891251148196528,0.0,0.0
43,9.16062004950276e-05,0.525042350488621,23.97054753299851,0.24774977515158395,0.0,0.0
44,9.121721629353316e-05,0.5231505281506681,24.17481345439662,0.2435977522119983,0.0,0.0
45,9.082052971103155e-05,0.5178729912820412,23.78188219753344,0.24944715152152896,0.0,0.0
46,9.041623862400122e-05,0.5126845395154885,23.99310013221779,0.2429917207091753,0.0,0.0
47,9.000444278521836e-05,0.512539396006589,23.932247427505825,0.2452677804808121,0.0,0.0
